City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2024-05-16 23:45:50,-33.5906,26.891,58.17,86,40,3.0
1,Qaanaaq,GL,2024-05-16 23:45:50,77.484,-69.3632,23.86,75,100,4.43
2,Arraial Do Cabo,BR,2024-05-16 23:45:50,-22.9661,-42.0278,74.82,88,100,21.81
3,Veraval,IN,2024-05-16 23:45:50,20.9,70.3667,82.63,79,13,15.59
4,Cape Town,ZA,2024-05-16 23:41:09,-33.9258,18.4232,66.38,85,0,5.75
5,Mar Del Plata,AR,2024-05-16 23:45:51,-38.0023,-57.5575,54.09,75,67,5.99
6,Saint-Philippe,RE,2024-05-16 23:45:51,-21.3585,55.7679,63.99,73,74,11.45
7,Hermanus,ZA,2024-05-16 23:45:51,-34.4187,19.2345,62.22,83,69,9.19
8,Saraipali,IN,2024-05-16 23:45:51,21.3333,83.0,87.35,47,100,9.55
9,Raga,SS,2024-05-16 23:45:51,8.4596,25.678,84.31,42,64,2.44
10,Ushuaia,AR,2024-05-16 23:43:29,-54.8,-68.3,42.46,81,75,12.66
11,Port Elizabeth,ZA,2024-05-16 23:45:52,-33.918,25.5701,64.31,83,0,18.41
12,Puerto Ayora,EC,2024-05-16 23:45:52,-0.7393,-90.3518,75.54,97,28,6.42
13,Upernavik,GL,2024-05-16 23:45:52,72.7868,-56.1549,8.71,87,20,6.38
14,Busselton,AU,2024-05-16 23:45:52,-33.65,115.3333,59.7,78,0,11.25
15,Laguna,US,2024-05-16 23:45:53,38.421,-121.4238,86.31,49,0,10.36
16,Adre,TD,2024-05-16 23:45:53,13.4667,22.2,80.13,11,32,14.94
17,Narsaq,GL,2024-05-16 23:45:53,60.9167,-46.05,43.02,80,59,2.77
18,Jamestown,US,2024-05-16 23:41:57,42.097,-79.2353,71.02,69,0,5.75
19,Mayumba,GA,2024-05-16 23:45:53,-3.432,10.6554,77.86,92,100,5.73
20,Lamu,KE,2024-05-16 23:45:54,-2.2717,40.902,80.01,82,98,14.72
21,Plettenberg Bay,ZA,2024-05-16 23:45:54,-34.0527,23.3716,61.2,76,8,9.24
22,Bredasdorp,ZA,2024-05-16 23:45:54,-34.5322,20.0403,61.48,80,68,9.15
23,Marathon,US,2024-05-16 23:45:55,44.9,-89.7668,70.84,56,75,16.11
24,Loandjili,CG,2024-05-16 23:45:55,-4.7561,11.8578,78.91,94,40,2.3
25,Klaksvik,FO,2024-05-16 23:45:55,62.2266,-6.589,47.32,93,99,10.87
26,Panaba,MX,2024-05-16 23:45:55,21.2833,-88.2667,91.62,44,26,16.73
27,Lagoa,PT,2024-05-16 23:45:55,39.05,-27.9833,62.24,72,49,10.56
28,Bondo,CD,2024-05-16 23:45:55,3.8146,23.6866,73.09,73,13,1.5
29,Dingle,PH,2024-05-16 23:45:56,10.9995,122.6711,88.18,59,32,5.35
30,Muromtsevo,RU,2024-05-16 23:45:56,56.3724,75.2418,44.33,59,8,8.16
31,Rocha,UY,2024-05-16 23:45:56,-34.4833,-54.3333,46.69,84,83,5.5
32,Georgetown,MY,2024-05-16 23:45:56,5.4112,100.3354,79.95,88,20,3.44
33,Petersburg,US,2024-05-16 23:45:56,37.2279,-77.4019,79.21,69,0,3.44
34,Cayeli,TR,2024-05-16 23:45:57,41.0923,40.7292,54.72,84,93,1.48
35,Chuy,UY,2024-05-16 23:45:57,-33.6971,-53.4616,47.73,87,98,5.39
36,Wilmington,US,2024-05-16 23:45:42,34.2257,-77.9447,78.71,76,20,4.61
37,Tasiilaq,GL,2024-05-16 23:45:57,65.6145,-37.6368,21.09,89,97,1.54
38,Biltine,TD,2024-05-16 23:45:58,14.5333,20.9167,85.41,10,0,16.62
39,Saldanha,ZA,2024-05-16 23:45:58,-33.0117,17.9442,60.85,89,28,3.85
40,Mahebourg,MU,2024-05-16 23:45:58,-20.4081,57.7,73.69,73,40,10.36
41,Hithadhoo,MV,2024-05-16 23:45:58,-0.6,73.0833,82.29,84,100,21.36
42,Vestmannaeyjar,IS,2024-05-16 23:45:58,63.4427,-20.2734,44.53,64,34,16.91
43,Salalah,OM,2024-05-16 23:46:58,17.0151,54.0924,84.29,65,20,6.91
44,Olafsvik,IS,2024-05-16 23:46:59,64.8945,-23.7142,41.52,57,4,9.01
45,Tiruppur,IN,2024-05-16 23:46:59,11.1,77.35,79.95,80,100,3.67
46,Limbe,CM,2024-05-16 23:46:59,4.0242,9.2149,81.07,85,100,6.87
47,San Cristobal,VE,2024-05-16 23:46:59,7.7669,-72.225,78.98,99,76,2.08
48,Constitucion,CL,2024-05-16 23:46:59,-35.3333,-72.4167,49.91,75,69,4.72
49,Dikson,RU,2024-05-16 23:47:00,73.5069,80.5464,16.72,94,100,7.0
50,Souillac,MU,2024-05-16 23:47:00,-20.5167,57.5167,73.78,73,40,10.36
51,Touros,BR,2024-05-16 23:47:00,-5.1989,-35.4608,78.66,85,23,10.65
52,Lebu,CL,2024-05-16 23:47:00,-37.6167,-73.65,48.49,87,3,6.58
53,Consett,GB,2024-05-16 23:47:00,54.854,-1.8316,52.72,92,99,7.07
54,Bilma,NE,2024-05-16 23:47:00,18.6853,12.9164,90.16,12,0,8.9
55,Naryan-Mar,RU,2024-05-16 23:47:01,67.6713,53.087,17.8,97,67,7.29
56,Sungurlu,TR,2024-05-16 23:47:01,40.1675,34.3739,48.96,85,7,3.58
57,Bathsheba,BB,2024-05-16 23:47:01,13.2167,-59.5167,81.21,94,75,12.66
58,Torbay,CA,2024-05-16 23:47:01,47.6666,-52.7314,42.17,96,100,11.5
59,Binga,ZW,2024-05-16 23:47:02,-17.6203,27.3414,63.25,51,9,4.72
60,Sisimiut,GL,2024-05-16 23:47:02,66.9395,-53.6735,22.24,73,5,10.74
61,Najran,SA,2024-05-16 23:47:02,17.4924,44.1277,83.05,24,88,7.16
62,Chik,RU,2024-05-16 23:47:02,54.9928,82.4311,37.15,75,0,4.47
63,Pascagoula,US,2024-05-16 23:42:38,30.3658,-88.5561,82.45,62,0,5.75
64,Punta Arenas,CL,2024-05-16 23:47:03,-53.15,-70.9167,42.91,81,0,17.27
65,Hofn,IS,2024-05-16 23:47:03,64.2539,-15.2082,46.04,80,9,3.24
66,Bambous Virieux,MU,2024-05-16 23:47:03,-20.3428,57.7575,73.65,73,40,10.36
67,Japura,ID,2024-05-16 23:47:03,-0.3167,102.35,75.07,98,100,0.69
68,Kathmandu,NP,2024-05-16 23:47:03,27.7167,85.3167,64.62,72,20,2.3
69,Victoria,HK,2024-05-16 23:42:46,22.2855,114.1577,77.38,78,72,8.99
70,Akdepe,TM,2024-05-16 23:47:04,42.0551,59.3788,60.89,62,97,12.24
71,Pabbi,PK,2024-05-16 23:47:04,34.0106,71.7989,81.28,37,89,2.57
72,Nova Vicosa,BR,2024-05-16 23:47:04,-17.8919,-39.3719,76.48,82,0,5.37
73,Bahia Blanca,AR,2024-05-16 23:47:04,-38.7196,-62.2724,48.07,88,100,5.37
74,Ancud,CL,2024-05-16 23:47:04,-41.8697,-73.8203,48.61,85,100,4.7
75,Lerwick,GB,2024-05-16 23:47:05,60.1545,-1.1494,51.8,93,5,9.91
76,Van,TR,2024-05-16 23:47:05,38.4924,43.3831,42.15,87,75,8.05
77,Urubicha,BO,2024-05-16 23:47:05,-15.3833,-62.95,71.35,72,60,3.02
78,Challans,FR,2024-05-16 23:47:05,46.8436,-1.8749,52.97,91,100,8.41
79,Honningsvag,NO,2024-05-16 23:47:05,70.9821,25.9704,38.95,75,100,0.0
80,Stornoway,GB,2024-05-16 23:47:06,58.2093,-6.3865,53.56,95,100,6.91
81,Marsa Matruh,EG,2024-05-16 23:47:06,31.3525,27.2453,73.6,46,0,5.75
82,Ribeira Grande,PT,2024-05-16 23:47:06,38.5167,-28.7,62.78,81,85,11.01
83,Cidreira,BR,2024-05-16 23:47:06,-30.1811,-50.2056,52.75,94,100,8.21
84,Barbosa Ferraz,BR,2024-05-16 23:47:06,-24.03,-52.0117,69.69,59,100,2.68
85,Yambio,SS,2024-05-16 23:47:07,4.5721,28.3955,69.04,93,55,2.17
86,Tucurui,BR,2024-05-16 23:47:07,-3.7661,-49.6725,80.04,81,82,2.73
87,Ilulissat,GL,2024-05-16 23:47:07,69.2167,-51.1,24.82,50,4,11.5
88,Ippy,CF,2024-05-16 23:47:07,6.2679,21.2247,75.52,69,17,2.44
89,La Asuncion,VE,2024-05-16 23:47:07,11.0333,-63.8628,79.34,87,74,12.97
90,Itarema,BR,2024-05-16 23:48:08,-2.9248,-39.9167,78.39,87,59,10.18
91,Sao Desiderio,BR,2024-05-16 23:48:08,-12.3633,-44.9733,71.47,39,0,4.41
92,Karatau,KZ,2024-05-16 23:48:09,43.1667,70.4667,56.3,88,47,1.66
93,Naliya,IN,2024-05-16 23:48:09,23.2667,68.8333,82.56,72,0,13.35
94,Mega,ET,2024-05-16 23:48:09,4.05,38.3,63.88,66,43,8.59
95,Ponta Do Sol,PT,2024-05-16 23:48:09,32.6667,-17.1,65.12,68,22,2.48
96,Nyagan,RU,2024-05-16 23:48:09,62.1406,65.3936,40.5,86,100,4.9
97,Tres Lagoas,BR,2024-05-16 23:48:10,-20.7511,-51.6783,75.7,42,5,1.72
98,Larvik,NO,2024-05-16 23:48:10,59.0533,10.0352,59.45,51,25,4.61
99,Abu Dhabi,AE,2024-05-16 23:47:05,24.4667,54.3667,90.95,34,0,4.61
100,Kruisfontein,ZA,2024-05-16 23:48:10,-34.0033,24.7314,61.34,69,2,16.58
101,Port Said,EG,2024-05-16 23:48:10,31.2565,32.2841,69.78,78,0,6.91
102,Derzhavinsk,KZ,2024-05-16 23:48:10,51.1,66.3167,53.04,63,82,7.47
103,Lima,PE,2024-05-16 23:44:23,-12.0432,-77.0282,64.65,77,20,11.5
104,Trofors,NO,2024-05-16 23:48:11,65.5333,13.4063,44.47,46,29,3.0
105,Novooleksiyivka,UA,2024-05-16 23:48:11,46.2269,34.6428,49.71,89,24,6.91
106,Cururupu,BR,2024-05-16 23:48:11,-1.8283,-44.8683,76.12,93,96,1.41
107,Talcahuano,CL,2024-05-16 23:48:11,-36.7167,-73.1167,51.48,82,0,4.61
108,Savannah Bight,HN,2024-05-16 23:48:11,16.45,-85.85,82.63,84,86,33.87
109,Clyde River,CA,2024-05-16 23:48:12,70.4692,-68.5914,21.43,86,0,0.0
110,Homestead,US,2024-05-16 23:48:12,25.4687,-80.4776,87.82,66,0,6.91
111,East London,ZA,2024-05-16 23:48:12,-33.0153,27.9116,65.79,47,21,13.06
112,Richards Bay,ZA,2024-05-16 23:48:12,-28.783,32.0377,67.59,72,0,7.49
113,Kralendijk,BQ,2024-05-16 23:48:12,12.15,-68.2667,84.18,79,40,14.97
114,Riohacha,CO,2024-05-16 23:48:12,11.5444,-72.9072,86.11,89,20,11.5
115,Nanortalik,GL,2024-05-16 23:48:13,60.1432,-45.2371,33.21,87,85,5.21
116,Kavaratti,IN,2024-05-16 23:48:13,10.5669,72.642,85.37,73,29,4.0
117,Bay Roberts,CA,2024-05-16 23:48:13,47.5999,-53.2648,42.93,97,99,5.99
118,Mequon,US,2024-05-16 23:48:13,43.2364,-87.9845,71.65,75,89,6.26
119,Ovalle,CL,2024-05-16 23:48:13,-30.5983,-71.2003,54.7,48,8,2.62
120,Henties Bay,NA,2024-05-16 23:48:14,-22.116,14.2845,69.78,46,0,2.64
121,Grand Gaube,MU,2024-05-16 23:48:14,-20.0064,57.6608,73.8,81,94,4.0
122,Kulhudhuffushi,MV,2024-05-16 23:48:14,6.6221,73.07,84.9,77,73,13.56
123,Tessalit,ML,2024-05-16 23:48:15,20.1986,1.0114,88.0,27,99,4.23
124,Xapuri,BR,2024-05-16 23:48:15,-10.6517,-68.5044,77.45,67,35,1.61
125,Tashla,RU,2024-05-16 23:48:15,51.7716,52.7427,49.14,84,100,3.24
126,Ajdabiya,LY,2024-05-16 23:48:15,30.7554,20.2263,87.46,16,4,15.37
127,Nalut,LY,2024-05-16 23:48:15,30.3333,10.85,83.1,31,100,18.81
